id,city_id,city_name,year,category,item_name,price,unit,is_essential
1,001,北京,1980,food,粳米,0.14,500g,True
2,001,北京,1980,food,大豆油,4.26,5L,True
3,001,北京,1980,food,精瘦肉,0.98,500g,True
4,001,北京,1980,clothing,棉质T恤,3.51,件,True
5,001,北京,1980,food,330ml啤酒,0.35,听,False
6,001,北京,1980,food,500ml五粮液,3.72,瓶,False
7,001,北京,1980,income,月平均工资,68.26,元/月,True
8,001,北京,1980,service,理发,0.25,次,True
9,001,北京,1981,food,粳米,0.15,500g,True
10,001,北京,1981,food,大豆油,4.21,5L,True
11,001,北京,1981,food,精瘦肉,1.11,500g,True
12,001,北京,1981,clothing,棉质T恤,3.8,件,True
13,001,北京,1981,food,330ml啤酒,0.35,听,False
14,001,北京,1981,food,500ml五粮液,4.55,瓶,False
15,001,北京,1981,income,月平均工资,73.27,元/月,True
16,001,北京,1981,service,理发,0.25,次,True
17,001,北京,1982,food,粳米,0.15,500g,True
18,001,北京,1982,food,大豆油,4.28,5L,True
19,001,北京,1982,food,精瘦肉,1.16,500g,True
20,001,北京,1982,clothing,棉质T恤,4.08,件,True
21,001,北京,1982,food,330ml啤酒,0.38,听,False
22,001,北京,1982,food,500ml五粮液,4.97,瓶,False
23,001,北京,1982,income,月平均工资,75.85,元/月,True
24,001,北京,1982,service,理发,0.31,次,True
25,001,北京,1983,food,粳米,0.16,500g,True
26,001,北京,1983,food,大豆油,4.3,5L,True
27,001,北京,1983,food,精瘦肉,1.18,500g,True
28,001,北京,1983,clothing,棉质T恤,4.26,件,True
29,001,北京,1983,food,330ml啤酒,0.4,听,False
30,001,北京,1983,food,500ml五粮液,5.46,瓶,False
31,001,北京,1983,income,月平均工资,76.99,元/月,True
32,001,北京,1983,service,理发,0.35,次,True
33,001,北京,1984,food,粳米,0.17,500g,True
34,001,北京,1984,food,大豆油,4.45,5L,True
35,001,北京,1984,food,精瘦肉,1.26,500g,True
36,001,北京,1984,clothing,棉质T恤,4.53,件,True
37,001,北京,1984,food,330ml啤酒,0.4,听,False
38,001,北京,1984,food,500ml五粮液,6.49,瓶,False
39,001,北京,1984,income,月平均工资,88.5,元/月,True
40,001,北京,1984,service,理发,0.4,次,True
